Date,CCITY424,CCITY497,CCITY401,CCITY496,CCITY394
2019-01-21,11,0,0,0,0
2019-01-22,16,0,0,0,0
2019-01-23,8,0,0,0,0
2019-01-24,17,0,0,0,0
2019-01-25,13,0,0,0,0
2019-01-26,1,0,0,0,0
2019-01-27,4,0,0,0,0
2019-01-28,18,0,0,0,0
2019-01-29,42,0,0,0,0
2019-01-30,49,0,0,0,0
2019-01-31,26,0,0,0,0
2019-02-01,27,0,0,0,0
2019-02-02,0,0,0,0,0
2019-02-03,3,0,0,0,0
2019-02-04,22,0,0,0,0
2019-02-05,23,0,0,1,0
2019-02-06,38,0,0,0,0
2019-02-07,7,0,0,0,0
2019-02-08,40,0,0,0,0
2019-02-09,10,0,0,0,0
2019-02-10,3,0,0,0,0
2019-02-11,14,0,0,0,0
2019-02-12,18,0,0,0,0
2019-02-13,21,0,0,1,0
2019-02-14,18,0,0,0,0
2019-02-15,7,0,0,0,0
2019-02-16,14,0,0,0,0
2019-02-17,2,0,0,0,0
2019-02-18,23,0,0,0,0
2019-02-19,29,0,0,0,0
2019-02-20,20,0,0,0,0
2019-02-21,24,0,0,0,0
2019-02-22,21,0,0,0,0
2019-02-23,12,0,0,0,0
2019-02-24,2,0,0,0,0
2019-02-25,10,0,0,0,0
2019-02-26,10,0,0,0,0
2019-02-27,8,0,0,0,0
2019-02-28,34,0,0,0,0
2019-03-01,16,0,0,0,0
2019-03-02,0,0,0,0,0
2019-03-03,1,0,0,0,0
2019-03-04,23,0,0,0,0
2019-03-05,22,0,0,0,0
2019-03-06,11,0,0,0,0
2019-03-07,24,0,0,0,0
2019-03-08,36,0,0,0,0
2019-03-09,4,0,0,0,0
2019-03-10,6,0,0,0,0
2019-03-11,15,0,0,0,0
2019-03-12,14,0,0,0,0
2019-03-13,22,0,0,0,0
2019-03-14,12,0,0,0,0
2019-03-15,19,0,0,0,0
2019-03-16,6,0,0,0,0
2019-03-17,3,0,0,0,0
2019-03-18,11,0,0,0,0
2019-03-19,18,0,0,0,0
2019-03-20,6,0,0,0,0
2019-03-26,8,0,1,2,0
2019-03-27,12,0,1,4,3
2019-03-28,11,2,4,6,9
2019-03-29,13,3,0,0,0
2019-03-30,4,1,2,0,0
2019-03-31,2,4,0,0,0
2019-04-01,12,2,5,1,1
2019-04-02,18,3,3,0,0
2019-04-03,11,1,8,2,2
2019-04-04,15,3,4,0,0
2019-04-05,18,2,4,1,2
2019-04-06,3,1,0,0,0
2019-04-07,2,2,0,0,0
2019-04-08,22,2,1,0,0
2019-04-09,10,0,2,0,0
